attr,accuracy
+Eccentricity,0.8222222222222222
+Eccentricity,0.9111111111111111
+Eccentricity,0.9
+Eccentricity,0.9111111111111111
+Eccentricity,0.9111111111111111
-Eccentricity,0.7888888888888889
-Eccentricity,0.8888888888888888
-Eccentricity,0.8333333333333334
-Eccentricity,0.9
-Eccentricity,0.9222222222222223
-Eccentricity,0.9222222222222223
-Eccentricity,0.9111111111111111
-Eccentricity,0.9111111111111111
+Eccentricity,0.7888888888888889
+Eccentricity,0.8888888888888888
+Eccentricity,0.8333333333333334
+Eccentricity,0.9
+Eccentricity,0.9222222222222223
+Eccentricity,0.9222222222222223
+Eccentricity,0.9111111111111111
+Eccentricity,0.9111111111111111
-Eccentricity,0.8888888888888888
-Eccentricity,0.7888888888888889
-Eccentricity,0.9
-Eccentricity,0.8222222222222222
-Eccentricity,0.9111111111111111
-Eccentricity,0.9
-Eccentricity,0.9111111111111111
-Eccentricity,0.9111111111111111
+Eccentricity,0.8888888888888888
+Eccentricity,0.7888888888888889
+Eccentricity,0.9
+Eccentricity,0.8222222222222222
+Eccentricity,0.9111111111111111
+Eccentricity,0.9
+Eccentricity,0.9111111111111111
+Eccentricity,0.9111111111111111
-Eccentricity,0.7888888888888889
-Eccentricity,0.8888888888888888
-Eccentricity,0.8333333333333334
-Eccentricity,0.9
-Eccentricity,0.9222222222222223
-Eccentricity,0.9222222222222223
-Eccentricity,0.9111111111111111
-Eccentricity,0.9111111111111111
+Eccentricity,0.7888888888888889
+Eccentricity,0.8888888888888888
+Eccentricity,0.8333333333333334
+Eccentricity,0.9
+Eccentricity,0.9222222222222223
+Eccentricity,0.9222222222222223
+Eccentricity,0.9111111111111111
+Eccentricity,0.9111111111111111
-ConvexArea,0.5
-ConvexArea,0.9111111111111111
-ConvexArea,0.6777777777777778
-ConvexArea,0.7222222222222222
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
-ConvexArea,0.7666666666666667
-ConvexArea,0.5
-ConvexArea,0.9111111111111111
-ConvexArea,0.6777777777777778
-ConvexArea,0.8333333333333334
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
+ConvexArea,0.5
+ConvexArea,0.5
+ConvexArea,0.7333333333333333
+ConvexArea,0.8
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.5
+ConvexArea,0.5
+ConvexArea,0.7333333333333333
+ConvexArea,0.8
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
-ConvexArea,0.4888888888888889
-ConvexArea,0.5
-ConvexArea,0.9111111111111111
-ConvexArea,0.6777777777777778
-ConvexArea,0.7333333333333333
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
-ConvexArea,0.7777777777777778
-ConvexArea,0.5
-ConvexArea,0.9111111111111111
-ConvexArea,0.6777777777777778
-ConvexArea,0.8333333333333334
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
+ConvexArea,0.5
+ConvexArea,0.5
+ConvexArea,0.7333333333333333
+ConvexArea,0.8
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.5
+ConvexArea,0.5
+ConvexArea,0.7333333333333333
+ConvexArea,0.8
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
+ConvexArea,0.9222222222222223
+ConvexArea,0.9111111111111111
-ConvexArea,0.8888888888888888
-ConvexArea,0.7888888888888889
-ConvexArea,0.9111111111111111
-ConvexArea,0.8222222222222222
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9111111111111111
-ConvexArea,0.8888888888888888
-ConvexArea,0.7888888888888889
-ConvexArea,0.9111111111111111
-ConvexArea,0.8222222222222222
-ConvexArea,0.9111111111111111
-ConvexArea,0.9
-ConvexArea,0.9111111111111111
-ConvexArea,0.9111111111111111
+ConvexArea,0.7888888888888889
